date,SX001,SX002,SX003,SX004,SX005,SX006,SX007,SX008,SX009,SX010
# The attendance register, exactly as a school keeps it on paper:
# one row per working day, one column per child, one character per cell.
#   P present · A absent · L late (late counts as present)
# build.js transposes this into the portal's per-child series AND counts
# each child's attPresent / attTotal from it, so the two cannot disagree.
# The date column is where the working-day calendar comes from: add a row
# to add a working day, delete one to remove it.
2026-06-01,P,P,P,P,P,P,P,P,P,P
2026-06-02,P,P,P,P,P,P,P,P,P,P
2026-06-03,P,P,P,P,P,P,P,P,P,P
2026-06-04,P,P,P,P,P,P,P,P,A,P
2026-06-05,P,P,L,P,P,A,P,P,P,P
2026-06-06,P,P,P,P,P,P,P,P,P,P
2026-06-08,P,P,P,P,P,P,P,A,P,P
2026-06-09,L,P,P,P,P,P,P,P,P,P
2026-06-10,P,P,P,P,L,P,P,P,P,P
2026-06-11,P,P,P,A,P,P,P,P,P,P
2026-06-12,P,P,P,P,P,A,A,P,P,P
2026-06-13,P,A,P,P,P,P,A,P,L,P
2026-06-16,P,P,P,L,P,P,A,P,P,P
2026-06-17,P,P,P,P,P,P,A,P,P,P
2026-06-18,A,P,P,P,P,P,A,P,P,P
2026-06-19,P,P,P,P,P,L,A,P,P,P
2026-06-20,P,P,P,P,A,P,A,P,P,P
2026-06-22,P,P,P,P,P,P,A,P,A,P
2026-06-23,P,P,P,A,P,P,P,P,P,P
2026-06-24,P,P,P,P,P,P,P,L,P,P
2026-06-25,P,L,P,P,P,P,P,P,P,P
2026-06-26,P,P,P,P,P,A,P,P,P,L
2026-06-27,P,P,A,P,P,P,P,P,P,P
2026-06-29,P,P,P,P,P,A,P,P,P,P
2026-06-30,P,P,P,P,P,P,P,P,A,P
2026-07-01,P,P,P,P,P,P,P,P,P,P
2026-07-02,P,A,P,P,P,P,P,P,P,P
2026-07-03,P,P,P,P,P,A,P,A,P,P
2026-07-04,P,P,P,P,A,P,P,P,P,P
2026-07-06,P,P,P,L,P,P,P,P,P,P
2026-07-07,P,P,P,P,P,P,L,P,P,P
2026-07-08,P,A,P,P,P,P,P,P,P,P
2026-07-09,P,P,P,P,P,P,P,P,P,P
2026-07-10,P,L,P,P,P,P,P,P,P,A
2026-07-11,P,P,P,P,P,P,P,P,P,P
2026-07-13,P,A,P,P,P,P,P,P,P,P
2026-07-14,P,P,P,P,P,P,P,P,P,P
2026-07-15,P,P,P,A,P,P,P,P,P,P
2026-07-16,P,P,P,P,P,P,P,P,A,P
2026-07-18,A,P,P,P,P,P,P,P,P,P
2026-07-20,P,A,P,P,P,P,P,P,P,P
2026-07-21,P,P,P,P,A,P,P,P,P,P
2026-07-22,P,P,P,P,P,P,P,P,L,P
2026-07-23,P,P,P,P,P,P,P,A,P,P
2026-07-24,P,A,P,P,P,A,P,P,P,P
2026-07-25,P,P,P,P,P,P,A,P,P,P
2026-07-27,L,P,P,P,P,P,P,P,P,P
2026-07-28,P,P,P,P,A,P,P,P,P,P
2026-07-29,P,A,P,P,P,P,P,P,P,P
2026-07-30,P,P,P,P,P,P,P,P,A,P
2026-08-01,P,A,P,P,P,P,P,L,P,P
2026-08-03,P,P,A,P,P,P,P,P,P,P
2026-08-04,P,A,P,P,P,P,P,P,P,P
2026-08-05,P,P,P,A,P,P,P,P,P,P
2026-08-06,P,A,P,P,P,P,P,P,P,P
2026-08-07,P,A,P,P,P,A,L,P,P,P
2026-08-08,P,P,P,P,A,P,P,P,P,P
2026-08-10,P,P,P,P,P,A,P,P,P,P
2026-08-11,A,A,P,P,P,P,P,P,P,P
2026-08-12,P,A,P,P,P,P,P,A,P,P
2026-08-13,P,P,P,L,P,P,P,P,P,P
2026-08-14,P,A,P,P,P,P,A,P,P,P
2026-08-17,P,P,P,A,P,P,P,P,P,P
2026-08-18,P,A,P,P,P,P,P,P,A,P
2026-08-19,P,A,P,P,P,P,P,P,P,P
2026-08-20,P,P,A,P,A,P,P,P,P,P
2026-08-21,P,A,P,P,A,A,P,P,P,P
2026-08-22,P,P,P,P,A,P,P,P,P,A
2026-08-24,P,A,P,P,A,P,P,P,P,P
2026-08-25,P,A,P,P,A,P,P,P,P,P
2026-08-26,P,P,P,P,A,P,P,P,A,P
2026-08-27,P,A,P,P,A,P,P,P,P,P
2026-08-28,P,A,P,P,A,A,P,P,P,P
2026-08-29,P,P,P,P,A,P,P,P,P,P
